Label,Claim
0,Was the Texas Church Shooter a Muslim Convert Named 'Samir Al-Hajeed'?
0,Ted Cruz Didn't Say He Was Skeptical About the Timing of Scalia's Death
0,Do You Need a Driver's License to Legally Operate a Car on Public Roads?
1,Ohio Police Post Graphic Photograph of Adults Passed Out from Heroin with Child in Car
0,"FALSE: Judge Calls U.S. Marshals, FBI to Arrest the President and Congress"
0,Will quoting the Bible be made illegal in Cincinnati?
1,Says state Rep. Fred Clark (D-Baraboo) ran a red light and seriously injured a bicyclist.
1,Is This Carl Sagan's 'Foreboding of an America'?
1,Did Otters at Georgia Aquarium Test Positive for COVID-19?
0,Did Taylor Swift Say 'We Should Remove the Statue of Liberty'?
0,'Woman Leaves House to Neighbor' Ad Is Not a True Story
0,Does a Picture Depict Groomsmen Supporting a Paralyzed Man at His Wedding?
1,"Says the Congressional Budget Office has estimated ""every penny of the federal budget will go to interest on the debt and entitlement spending by 2025."""
0,Did Kentucky Derby Winner Turn Down White House Invitation?
0,Does a Photograph Show Obama Wearing an Aleister Crowley T-Shirt?
1,Did BBB Warn Against Sharing High School Senior Photos?
1,Did Trump Open an ‘Office of the Former President’ in Palm Beach?
0,"No, Oprah Wasn't Wearing an Ankle Monitor During the Harry and Meghan Interview"
0,Is This How German News Covered President Trump at the NATO Summit?
0,Bill Murray and Hunter S. Thompson Wore Vulgar T-Shirts?
0,Did J.D. Salinger Write in the Nude?
0,Is This a Picture of a Shirtless Donald Trump?
0,Did Tom Brady Receive a Private Jet as a Gift?
0,Did Nike Fire Colin Kaepernick After an Arrest?
0,Should You Avoid Waking a Sleepwalker?
0,Did Virginia Police Kill a Three-Year-Old Child During a Shootout?
0,Did Barack Obama and George W. Bush Tweet Criticisms of Kanye West?
1,Did Consumers Sue Over Alleged Hair Loss Ingredient in TRESemmé Shampoo?
1,"""Putting three Republicans in my Cabinet...is unprecedented."""
1,"""I’m the only member of the House of Representatives who raised most of his campaign funds in the last election from small contributions of less than $200."""
0,Did U.S. Sen. Kamala Harris Say 'White Lab Coats Are a Sign of Doctors’ Racism'?
0,Did the Dick Act of 1902 'Invalidate All Gun Control Laws'?
1,"""Barack Obama won't even use the term 'war on terrorism.'"""
1,"Members of Congress did not have three days to read the bill ""when the stimulus was rushed into law."""
1,Did a Man Suffer Organ Failure After Injecting Psychedelic Mushrooms?
1,'Betty in High School 2021': Did Archie Depict Remote Schooling in 1997?
0,'Never Forget Jan. 6' Gas Price Photos Date from Obama Era
1,"“There’s still (only) a handful of school districts"" doing no in-person instruction."
0,Are Canadians Paying $9 USD Per Gallon for Gas?
0,Is This 'Walking' Protein What Happiness Really Looks Like?
0,Was Anthony Bourdain Killed by Clinton Operatives?
0,Does This Video Show Barack Obama Admitting He Was Not Born in Hawaii?
0,Did a Texas School District 'Mandate Teaching Kids How to Have Anal Sex'?
1,Man Decapitated by Wrought Iron Fence
1,"White Supremacist Web Site Calls for Online Attacks Against Jews in Whitefish, Montana"
1,"""Over 30 states passed the legislation to ban powdered alcohol,"" and Missouri is not one of them"
1,Says he eliminated an EPA rule that treated spilled milk like it was oil.
1,Did ODNI Photoshop the Cover of a Diversity Report?
1,Was Sen. Kelly Loeffler Pictured With Former KKK Member?
0,Man Pardoned by Obama Arrested for Murder?
0,"""If a statue of a person in the park on a horse has both front legs in the air, the person died in battle. If the horse has one front leg in the air, the person died as a result of wounds received in battle. If the horse has all four legs on the ground, the person died of natural causes."""
0,Did the Parkland Shooting Suspect Have a 'Connection' to Barack Obama?
0,Michelle Obama Plagiarized Her 2008 DNC Speech from Stephen R. Covey
1,Did a Cadet Criticize the Air Force Chief of Staff?
0,Was Kirk Cameron Diagnosed With a Rare Form of Leprosy?
0,Was Jesus' Birthplace Removed from UN's Heritage List?
1,Did a Truck Carrying an 'Evergreen' Container Block a Chinese Highway?
0,Phony Carpark Attendant Collects Parking Fees
1,"""Over 40 percent of children born in America are born out of wedlock."""
1,Did Trump Designate Christmas Eve 2020 a Federal Holiday?
0,Did People Contract Herpes After Drinking Instagram Star Belle Delphine's Bathwater?
1,"Cal Cunningham ""voted for over $1 billion in new taxes.”"
0,FALSE: Admiral Fired for Exposing Obama's Dubai Mansion Purchase
0,Say a video shows “staffers stuffing ballots in flint mi”
0,Does a Viral Photo Show 'Women of the Democrat Party' Wearing KKK Robes?
1,Does a Photo Show Jill Biden Lunging To Protect Joe?
1,"""Georgia has the second-highest rate of childhood obesity in the United States."""
0,Are Charitable NGOs Trafficking People Across the Mediterranean to Europe?
1,My 2018 election was the first time Speaker Robin Vos has lost a Republican-held seat
0,Saltwater Crocodile Captured in Long Island Sound Near Bridgeport?
1,"""The wealthiest three families now own more wealth than the bottom half of the country."""
1,Does a Photo Show Led Zeppelin Bassist's 'Triple-Neck' Guitar?
0,Was Malia Obama Arrested in an 'Antifa Attack' on an Elderly Woman?
1,Is This Mistranslated Welsh Traffic Sign Real?
0,Does This Photograph Show Whales Breaching Near a Small Boat?
0,Do Cement Floors Ruin Car Batteries?
1,Will Elmer Fudd and Yosemite Sam No Longer Carry Guns?
0,Ruth Ginsburg Threatens to 'Resign from SCOTUS' If Trump Is Elected President
0,Mike Brown Beating Video
1,"Says the Texas Department of Agriculture seeks to purchase up to 300,000 promotional stress balls."
1,"""Among the developed nations, we are the least economically and socially mobile country in the world."""
0,Did Newsweek Report That Trump Will Be Impeached and Replaced by Hillary Clinton?
1,Do Photos Show Boys in ‘Team Mitch’ Shirts Choking and Kissing AOC Cutout?
1,Did Texas Rep. Talarico Open Up About Having Diabetes and Announce Insulin Cap Bill?
1,"""We are at a 40-year low in our crime rate in our state."""
0,Does Biden's Climate Plan Include Cutting 90% of Red Meat From Our Diets?
0,Were Minions Inspired by Young Nazi Poison Gas Test Subjects?
0,Is the 'Harry Potter' 2020 Movie Trailer Real?
1,Is This the Kansas City Library?
1,Did Officers Shoot at a Car After Being Told a Pregnant Woman Was Inside?
1,Did a Man Twice Land a Plane on a New York Street on a Bar Bet?
1,"Says U.S. Sen. Ron Johnson voted to let oil and gas companies emit ""unlimited carbon pollution into our air"""
0,Did U.S. Rep. Ocasio-Cortez Demand Free Tuition for the Electoral College?
0,Does This Image Show Heath Ledger's Joker Doing a Skateboard Kickflip Over Batman?
0,Did All Democrats Vote Against a 2.8 Percent Social Security COLA Increase?
0,"'Star Wars' Filming Soon in Your Town, USA"
1,"Florida’s red flag gun law has been used ""about five times a day."""
0,Is This Hairy Frog Real?
0,"No, the US Military Didn't Arrest Deborah Birx for Spreading COVID Lies"
1,"""We’re already bombing seven countries."""
1,Does Loser.com Redirect to Trump's Wikipedia Page?
0,A 'Columbus Day' Claim Debunked in 1892
1,"""The House has never failed to pass a budget in the modern era."""
0,Were Weis Markets Employees Banned From Displaying the American Flag?
0,Did Michael Kors Say 'I'm Tired of Pretending I Like Blacks'?
1,"""Fox News uses photo of a married couple promoting ‘traditional marriage’ and the photo is actually of a same-sex couple."""
0,"“Biden resigned, Pelosi was detained.”"
0,Barack Obama on Veterans' Health Insurance
1,"Seven of America’s 10 wealthiest counties are in the Washington, D.C., area."
0,Did a New York Mosque Burn an American Flag to Protest President Trump?
1,"In President Barack Obama’s 2015 State of the Union address, ""the words ‘al-Qaida’ were never used, the first time those words have not been used in a State of the Union address since February 2001."""
1,Do Poppy Seeds Alter Drug Test Results?
1,"""If you look at most of the polls, this is a margin-of-error race on Fourth of July between Mitt Romney and the president."""
0,Did Kellyanne Conway's Inaugural Dress Copy a 1970s Simplicity Pattern?
1,Did IKEA Release an Advertisement Containing a Pregnancy Test?
1,"A Texas police department bought an ad telling drug dealers, ""We can take your competition off the streets for FREE."""
1,Does This Photo Show a Hole Drilled on Mars?
1,"""There are at least twice as many licensed firearm dealers in California as there are McDonald’s."""
0,Starbucks CEO Admits Plot to Lure Customers Into Satanism
1,"Says that from 1992 through 2010, every statewide candidate drawing over 43 percent of the vote in a Republican Texas primary won the resulting runoff."
0,"When Congress sought documents from President Barack Obama, the White House ""didn’t do anything. They didn’t give one letter of the request. Many requests were made. They didn’t give a letter."""
1,Says spending in the fiscal 2009 budget was lower than spending in the fiscal 2014 budget
0,Did Matthew McConaughey Endorse Donald Trump?
1,Did Biden Break Obama's Popular Vote Record?
1,"Travis County is ""surrounded by red counties."""
0,CDC Warns Hair Bands from China Made of Used Condoms
1,Did Tucker Carlson Say Forcing Kids To Wear Masks Outside Is 'Child Abuse'?
0,The 28th Amendment
0,Did New York Pass an Abortion Bill Allowing Shooting Babies Through the Heart with Poison?
0,"The Disappearance of Ashley, Kansas"
0,'22 Christian Missionaries Sentenced to Death' Prayer Request
0,Did a Delta Pilot Die Mid-Flight Due to COVID-19 Vaccination?
0,"Was 'Trump' Uttered 1,326 Times During the Democratic Debates?"
0,Did The Federal Bureau of Investigation Seize Smashed Hard Drives From Rep. Wasserman-Schultz's Home?
1,The proposed transportation tax plan revokes a tax-credit for consumers’ electric cars while the state retains similar credits for similar vehicles for businesses.
1,"Says Russ Feingold said that with Obamacare, ""we could keep our doctors and our plans, it was rated as the Lie of the Year."""
1,Did US Olympian Gwen Berry Turn Away from Anthem in Protest?
1,Bears Finishing What Katrina Started
1,"""As attorney general, I have prosecuted judges, district attorneys and other public officials across Texas who violated that (public) trust, who have been corrupted."""
1,Did Dakota's Steakhouse in Texas Defend an LGBTQ Server?
0,Was Adam Sandler Revealed to be a Supporter of Donald Trump?
0,Did Trump Remove a MLK Bust from the Oval Office?
0,Did Stephen Miller Throw a White Power Sign?
1,"""Our pension system is the only one in the country that’s 100 percent funded."""
0,Was a Chinese Restaurant in Atlanta Caught With Shipments of Rat Meat?
1,Orrin Hatch co-sponsored a 1993 health care bill that had an individual mandate.
0,Did the CDC Significantly 'Readjust COVID-19 Death Numbers'?
1,"Says ""Rep. Jim Weidner proposed a bill taking away health care for 80,000 of Oregon's children."""
0,Was 'I Love Lucy' Co-star Vivian Vance Contractually Obligated to Remain Overweight?
1,Did Federal Food Aid Boxes Include White House Letter Crediting Trump?
1,Does Time-Lapse Video Show Europa and Io Orbiting Jupiter?
0,Hillary Calls for the End of the U.S. and One 'Hemispheric' Government
1,"""The Republican from Georgia [U.S. Rep. Jack Kingston], he hasn’t even been to a NASCAR race."""
1,Misspelled Martin Luther King Day Signs
0,Did Trump Campaign Photoshop 'Trump 2020' Hat onto Pix of Reality TV Star?
0,Does an 'Increase' in Arctic and Greenland Ice Cast Doubt on the Reality of Global Warming?
1,Half Man-Half Price Store
0,Are People Identifying as 'Clovergender'?
0,Is 'Beetlejuice 2' Coming Soon?
0,"“Clintons, Powell, and Hunter Biden have already undergone military tribunals.”"
0,Obama Fines ABC for Charlie Brown Christmas?
1,"""I'm the only governor in America ... who signed a law that says there needs to be an independent investigation any time there's a death of someone in police custody."""
0,Did Dr. Oz's Family Business Illegally Hire Immigrants Using Fake Names?
0,Did a Cow Really Sit on the Hood of this Car?
0,Is Pastor and Gospel Singer Don Moen Dead After a Short Illness?
0,Did a Former Army Sniper Shoot Three Intruders in an Adjacent Home?
0,Veal Crates
1,Fourever Fortune
0,"No, Elon Musk Did Not Die in a Car Battery Explosion"
1,Hooter's Valentine's Day Special Promises Free Wings for Photos of Your Ex
1,"""In 2010 about 75 percent of child abuse and neglect reports in Oregon were made by those required to report by law."""
1,Oklahoma Did It Anyway
0,Is Twitter Getting Rid of Chronological Tweets?
0,"""BREAKING: Trump family donates $1 billion to wall fund."""
0,"Says Alexandria Ocasio-Cortez said, ""We’ll never have to worry about China attacking us! They are 12 hours ahead, so we’ll have plenty of time to shoot down their missiles!"""
0,Tom Hanks Backs Donald Trump for President
0,Is Photo of Melania Trump with Porn Star Ron Jeremy Real?
1,"""To get out of the (teachers) union, you pay 85 percent of $731. Then you're out of the union, but you've got to pay it every year, also required by statute. That’s called a representation fee."""
0,Did 58 Scientific Papers Published in 2017 Say Global Warming is a Myth?
1,Did Extinction Rebellion Activists Break Bank Windows in London?
1,"An effort to repeal voting-reform legislation would be ""the first time in Ohio history where a bill has been passed to stop a referendum."""
1,"""I did not vote to spend money to fight that (Amendment 6 redistricting) lawsuit."""
1,Says 1 in 7 American families is on food stamps.
0,Solar Eclipse in the South Pacific
1,"""If you go strictly by the numbers, crime is down across the board. Last year we had a 10 percent decrease in the most serious crimes."""
0,Does the World Economic Forum Have Its Own Police Force?
1,"""A trade war is something very different (than curbing new trade agreements). We went down that road in the 1930s. It made the Great Depression longer and more painful."""
0,Was Hillary Clinton Caught on a Hot Mic Trash-Talking Obama?
0,Did 17 Women Discover They're All Pregnant by the Same Man?
0,Is This James Hetfield Standing Near a Bear He Killed?
0,Fetal Footprint
0,Donald Trump Hires 'Clueless' Star for Outreach Program
0,Is This a Real Airport Sign in India?
1,"""Ronald Reagan raised the national debt 18 times."""
0,Did President Trump Sign Visa-Free Travel Policies for Various Countries?
0,Did Insect Repellent Companies Hire a Ugandan Man Whose Flatulence Kills Mosquitoes?
0,Facebook planted Frances Haugen as its own pretend whistleblower.
1,Is the Actor Who Played Steve Urkel Launching 'Purple Urkle' Cannabis Line?
1,"Does Ukraine Stamp Design Commemorate 'Russian Warship, Go F*ck Yourself' Moment?"
0,Do People in Sweden Have to Sign a 'Consent Form' Before Having Sex?
1,"""I am now the No. 2 member of this House in terms of length of service."""
0,Did Schiff Unfairly Squelch Stefanik at Impeachment Hearing?
1,"""The budget submitted by Obama will add more to the debt than the outstanding debt of the previous 43 presidents combined."""
1,Is This Phallic-Shaped Rock Real?
0,'Wolf' on Horse's Coat
0,Floyd Mayweather Wore Hijab to Donald Trump Rally
0,Photograph Doesn't Show Texas Students Protesting College Debt
1,Does This Video Show Baby Spiders Dispersing from Their Recently Squashed Mother?
0,Is the 'Bowlbot 5000' a Real Bowling Machine?
0,"No, Walmart Did Not Say in Sept. 2021 That Customers in Canada Would Need Vaccination Proof"
0,Did Tim Tebow Kneel During the National Anthem in Protest of Abortion?
0,Did Franken Photog Say Groping Image Was Staged?
0,Is This Marilyn Monroe Posing With a Cat?
1,"The national debt ""has gone up by $1,729,000,000 during the Isner v. Mahut match."""
1,Is This a Real Philip Morris Ad Featuring Mother and Baby?
0,Did DJ Khaled Break a Horse's Back By Riding on it?
1,"Yes, All Registered Voters in California Will Receive Ballots By Mail Going Forward"
0,Obama's Troubling Internet Fund-Raising
1,"""What do Rutgers University, Kean University, Montclair State University, New Jersey City University, Stockton College, Rowan University and William Paterson all have in common? They all graduate less than 50 percent of their students within four years."""
1,"Yes, This 'Rocking Horse Graveyard' Is Real"
0,"Did Donald Trump Jr. Say This About Women, Rape, and the President?"
0,Did a Politician's Stamp Not Stick Because People Spat on the Wrong Side?
1,Is Twitter Making a 'Dislike' Button?
1,Did Pipes Sticking Out of the Ground in the Woods Lead to a Discovery Underneath?
1,"""It costs $10,000 a year to keep a child in school; it costs $30,000 a year to keep someone in prison."""
0,Is the Baya Weaver Bird the Only Animal That Dies When Its Companion Dies?
1,Says he was the only statewide elected official to speak in favor of a federal guest worker plan at the 2012 Republican Party of Texas convention.
1,Is This 'Before and After' Image of an Earthquake-Damaged Alaskan Road Real?
1,"Pokémon Enthusiast Stabbed, Turns Down Medical Treatment to Keep Playing"
0,Did Prince Harry 'Admit' Meghan Markle Might Not Be 'The One'?
1,Is This a 327-Pound Halibut?
0,Does Ohio’s Abortion Ban Have a Rape Exception?
0,Fake Billie Eilish Livestream Fools Thousands on TikTok
1,"""Five percent of Americans pay over half the income taxes in this country. Forty percent of Americans pay no income taxes at all."""
0,Did Tennis Star Serena Williams Write the Viral 'I'm Sick of COVID-19' Post?
0,Did Trump Warn Russia Over Jehovah's Witnesses Ban and Urge Members to Seek Asylum in the U.S.?
0,Does 'New Facebook/Meta Rule' Permit Company To Use Your Photos?
1,"""You can import as many hemp products into this country as you want...but we can’t grow it."""
1,Did a Walmart Customer's Change Get Donated Without Consent?
1,"Ed Schultz said Alan Grayson is ""what it's all about."""
1,"""Currently it costs more than a penny for the U.S. Mint to make a one cent coin and more than a nickel to make the five cent piece."""
1,Says Oregon ranks 30th in the nation with regard to its incarceration rate.
1,Has Starbucks Sold a 'Christmas Blend' Since 1984?
1,Was This Dog's Face Burned in a Fire?
1,"Says he ""fought against $3 billion in cuts to public education since 2003."""
1,Did Amish Buggies Show Support for Trump?
0,Did 'Happy Days' Promote a 500% Increase in Library Card Applications?
1,"""Under Governor Almond the RI DMV had a program that allowed undocumented [people to] use their Personal Tax Identification Number . . . to apply [for] and receive a RI driver’s license."""
1,"""Drone technology now allows an individual to be recorded in their homes by drones as small as birds and immediately uploaded to the internet."""
0,Did Kamala Harris Tell Biden 'You Will Do Whatever the Chinese Tell You' During Dem Debate?
0,Are 90% of US Marriages Between 'High School Sweethearts'?
1,Does This Photograph Show Barron Trump Wearing Nike Shoes?
0,Is This Offensive Niger vs. Germany World Cup Screen Shot Real?
1,Beef Tallow In New £5 Notes?
0,Who Is Sonny Tufts?
1,"""We have been able to cut New York’s uninsured rate in half since 2013 from 10 percent to 5 percent of our population."""
1,Does the California NAACP Want to Replace the National Anthem?
1,"When Donald Trump lost the Iowa caucus to Ted Cruz in 2016, ""he immediately cried that Cruz cheated.”"
0,Was Fox News Banned as 'Propaganda' in Australia and New Zealand?
1,"""We, the bishops of the United States -- can you believe it -- in 1919 came out for more affordable, more comprehensive, more universal health care."""
1,Did Logan Paul Wear a Pokémon Card at Floyd Mayweather Jr. Fight?
0,Is This a Photo of the First Flight Attendant in 1914?
0,Does a New Law Allow Atheist Doctors to Refuse Care to Religious Patients?
1,"Since taking office in January 2011, ""the ‘rainy day’ fund has increased by 226 percent."""
0,Hillary Clinton Told 'Seventeen' Magazine She Didn't Want Her Daughter Marrying a Black Man?
0,Do Super Bowl Toilet Flushes Break Sewage Systems?
1,"Nancy Pelosi gave “$30,000 … to boost @LizMathis1’s campaign”"
0,Did Uvalde Shooting Victim's Mom Write Viral ‘Chicken Soup’ Poem?
0,"Says Joe Biden tweeted, “the way white people talk leaving minorities confused.”"
1,Were 'Child Sex Dolls' Briefly Offered via Amazon?
0,Does US Constitution Have No Pronouns?
1,"""Things went wrong with the Medicare prescription D plan that George Bush rolled out."""
0,Did Pat Robertson Say 'Melania's Nude Pics Are Pure Art'?
1,"""In Galveston, Texas, they have allowed people to privatize part of their Social Security. And people are building wealth."""
1,'Hamilton' Actor Brandon Victor Dixon Tweets About St. Patrick's Day
1,"""We've had Muslims in America since George Washington."""
1,"""(Ronald Reagan) raised taxes a billion dollars in his first year as governor of California."""
0,Is the Modern Face of Jesus Modeled on a 'Gangster's Son'?
0,Permanent Closure at Walt Disney World Due to Hurricane Irma?
0,Did Monica Lewinsky Offer to 'Take One For (the) Team' to Get Trump Impeached?
1,Did Barack Obama Endorse the Grandson of a Terrorist for U.S. Congress?
1,Does This Video Show Two Fluids Becoming ‘Unmixed’?
0,Does John Travolta Have a 'New Wife'?
0,Did the 'Shawshank Husband' Dig a Tunnel from His Bedroom to a Pub?
1,The Do's and Don'ts of Flu Prevention from 1918
1,Did Maryland 'Deplorables' Erect a Billboard Warning About Attempts to Impeach Donald Trump?
0,"Sherlock Holmes and 'Elementary, My Dear Watson'"
0,Did Ex-Wife Ivana Claim Donald Trump Is Addicted to Penis Enlargement Pills?
1,Tug of War Dismemberment
0,"""Surgeon who exposed Clinton Foundation corruption in Haiti found dead in apartment with stab wound to chest."" — Intellihub"
1,"Says Rep. Steve Stockman ""basically wants gun-filled zones in schools."""
1,Were Omaha Trump Rally Attendees Stranded in the Cold?
0,Is Olive Garden Going Out of Business?
1,David Schweikert has “been convicted of 11 House ethics violations.”
1,"Says ""Bernie Sanders was there when it came to (same-sex) marriage 20 years ago. ... He was there when it wasn't popular."""
0,Did President Trump's Immigration Executive Order Lead to the Capture of an Islamic State Leader?
1,Did Zara Sell 'Concentration Camp' Pajamas?
0,Did Biden Visit Tree of Life Synagogue?
1,"""Did U know? Block Island Wind Farm would mean 40% est. drop in BI electric rates."""
1,Did the Polio Vaccine Inspire 'A Spoonful of Sugar'?
0,"No, mRNA COVID-19 Vaccines Do Not 'Alter Your DNA'"
1,"""Higher education is one of America's strongest export sectors. Over 1 million international students studied at American universities, (in the) 2018-19 school year. They contributed over $40 billion to the economy.”"
1,Did Boehner Tell Ted Cruz 'Go F*ck Yourself' in New Audiobook?
1,Is the “Headless Chicken of the Deep Sea” a Real Creature?
0,"No, Hugh Laurie Did Not Transition to Become a Woman"
0,Did Costco Post This Sarcastic Reply to a Customer on Facebook?
1,Free IHOP Pancakes on National Pancake Day
0,Will Simba the Lion Be Gay in 'The Lion King' Remake?
1,Washington's Thanksgiving Proclamation?
0,What Are 'Refried Beans'?
1,"""Her opponent: zero times a judge, zero rulings, zero experience on the bench."""
1,"""A million people a year come into the U.S. legally. No other country even comes close to that figure."""
0,"Did Germany's Black Forest Cause 15,000 Missing Person Cases Last Year?"
1,Do Dia de los Muertos and National Remembrance Day for Americans Killed by 'Illegal Aliens' Fall on Same Day?
1,Did the FBI Warn of Armed Protests at 'All 50 State Capitols'?
0,'British Refugees Welcome' Sign on Madrid Building
0,Did U.S. House Democrats Pass a Bill to Allow Immigrants to Vote?
1,Significantly more people died of Covid-19 in two months than died of overdoses all of last year or the year before.
1,Emmanuel Mensah’s Final Act of Heroism
1,Did a Woman Open Fire at McDonald’s for Forgetting Bacon on Her Burgers?
0,"Disappointing Prince Vaults Found to Contain 37,000 Hours of Billy Joel Covers"
1,Did a Texas Woman Display a 'Skeleton Strip Club' in Her Yard for Halloween?
1,Did UK Government Announce Plans to Criminalize Pet Abduction?
1,"Are 'Pizzly Bears,' a Polar-Grizzly Mix, Real?"
1,"""Voting in the wrong precinct led to over 14,000 registered voters statewide to lose their vote in 2008."""
1,"Says of Donald Trump, ""He even said, on his very first day in office, he would require every school in America to let people carry guns into our classrooms."""
0,Was Hillary Clinton Recently 'On Trial' for Benghazi?
1,Did the Mayor of DC Ban Dancing at Weddings Because of COVID-19?
1,"Says Amanda Fritz ""manages less than 5 percent of city operations."""
1,"""In fact New Jersey is a donor state, we get 61 cents back on every dollar we send to Washington. And interestingly Kentucky gets $1.51 on every dollar they send to Washington."""
1,Did George Clooney Give Each of His 14 Best Friends Suitcases Filled with $1 Million?
0,Did Carrie Fisher Do Her Own Rewrites for 'The Empire Strikes Back'?
1,Is This a Real Ad for a 'Big Dick' Machine Gun for Kids?
0,Were Baseball Players Photographed Kneeling to Protest Lynchings in the 1950s?
0,"In Iowa, ""they have allowed a little over 300 people to re-vote."""
0,Did Joe Biden Misremember Who Attacked Pearl Harbor?
1,Says longstanding Food and Drug Administration regulations “created barriers to the private industry creating a test quickly” for the coronavirus.
1,Did a Viewer Spot This TV Reporter’s Cancer?
1,"""18 percent of our land in our state right now is either federally, state or county owned for conservation purposes."""
0,Donald Trump Made Donations to NAMBLA?
1,Guns vs. Teddy Bears: Which Has More Consumer Safety Regulations in the US?
1,"Six of the nation’s 10 wealthiest counties, ""according to median income, are in and around the Washington, D.C. area."""
0,"Says Betty White said Dec. 28, days before she died, “Eat healthy and get all your vaccines. I just got boosted today.”"
0,Was Biden Staffer Dallas Jones Arrested for Voter Fraud?
1,"""Even hunters are restricted from using large capacity magazines: there is a five cartridge limit for large game hunting, and three for bird hunting."""
1,Activists Target Big Box Chain Target With Holiday Boycott?
0,Colored Stickers Target Homes of Dog Owners?
0,Does Club Soda Kill Fire Ants?
1,Is This Story About the LeBleu Family Losing 4 Children in a Fire True?
0,Was Global Warming Data 'Faked' to 'Fit Climate Change Fictions'?
0,Did Ben Franklin Say 'Beer Is Proof that God Loves Us and Wants Us To Be Happy'?
1,Are These Stiletto Crocs Real?
1,"""In Senate Bill 5, there is this new method of evaluating teachers. … You’re also going to be rated on what the parents think of you and they can send questionnaires and surveys home to parents."""
0,Mike Rowe 'Unleashes Hell On Hillary'
1,Did Officers Rescue Own Children During Uvalde School Shooting?
0,Is Trump Back on Twitter Using the Alias 'John Barron'?
0,Has ISIS Issued a Fatwa to Kill Puppies?
0,Is Rep. Debbie Dingell Introducing a 'Gun Confiscation' Bill?
1,Was Kamala Harris Called 'Hoe' on Car Dealer's Billboard?
1,"Says his time away from Washington coincides with a ""long planned renovation"" for the White House."
0,"Were 10,150 Americans Killed by 'Illegal Immigrants' in 2018?"
1,Were Hurricane Katrina 'Looting' Photographs Captioned Differently Based on Race?
0,Is Joe Biden's Dog Unusually Big?
1,"Is This the Real Obituary of Margaret Groening, Mother of 'Simpsons' Creator Matt Groening?"
1,Can You Now Download Thousands of CIA Files on UFOs?
1,"Did Trump Refer to ""7/11"" Rather Than 9/11""?"
1,Is This a Real Deep-Sea Diving Suit from 1925?
1,"""More than 72 percent of children in the African-American community are born out of wedlock."""
1,Was Adolf Hitler Named 'Man of the Year' by TIME Magazine in 1938?
0,"Did Pope Francis Forgive 4,444 Pedophile Priests in Australia?"
0,Is Snapchat Shutting Down by the End of 2017?
1,Santa's Canadian Postal Code
0,Did a Brave Millennial Sell His Testicles to Raise Money for Bernie’s 2020 Campaign?
0,Were President Donald Trump's Sons Detained at Vancouver Airport over Ties with a Fascist Dictator?
0,"“With the money Elon Musk spent to buy Twitter shares, he could have given every American family $100,000 and still had enough left over to cancel all student debt.”"
0,Is a Vibrant Bra Promotion a Criminal Scam?
1,"""The LGBT community is more often the victims of hate crimes than any other recognized group."""
1,"After J.D. Hayworth ""was voted out of Congress, he became a registered lobbyist"" who was ""paid thousands by a Florida corporation to lobby the very committee he used to serve on."""
1,"The U.S. has ""5 percent of the world’s population, 25 percent of the world’s known prison population."""
0,Did Buzz Aldrin Say Not Punching Donald Trump Was His Greatest Achievement?
1,Did Walmart Sell Shirts That Allude to Hanging Journalists?
0,Did It Rain Black Stones on Turkey?
1,Is This a Picture of Hitachi 'Smart Dust'?
0,Is This 'Quintuple Skull' Real?
1,"He's been endorsed by ""every major newspaper here in the state of Texas."""
1,Did Pizza Hut Say 'Pizza is Good for You'?
0,Is This a 1950s Women's Magazine Ad for a Handgun to Shoot 'Depraved Creeps'?
1,Do These 1920s News Clippings Resemble 2020 Talk?
1,"Tim Kaine, as governor, proposed tax increases on people earning ""as little as $17,000."""
1,Did a Boston Hospital Deny Patient Heart Transplant Over COVID-19 Vaccine Refusal?
1,"""My opponent is endorsed by Citizens United."""
0,Did Trump Call Trudeau 'Leader of the Igloo People?'
1,"Did the U.S. Government Lose Track of 1,475 Migrant Children?"
0,Did Putin Issue an Arrest Warrant for George Soros?
0,A Universal Force
0,The Michigan attorney general’s race was “stolen in the middle of the night from Matt DePerno.”
0,Did Biden Use Racial Slurs in the Senate?
0,Greta Thunberg Video Manipulated To Downplay Climate Crisis
0,Did Whoopi Goldberg Call Judge Jeanine Pirro a 'Sand N***er?'
0,"The probability of Biden winning in Wisconsin, Georgia, Michigan and Pennsylvania “given President Trump’s early lead ... is less than one in a quadrillion” in each state."
0,Are 'Hail Satan' License Plates Now Available in Tennessee?
1,Is Ja Rule Auctioning Rights to Viral Fyre Festival Sandwich Tweet?
1,Did Twitter Temporarily Suspend Marjorie Taylor Greene’s Account?
0,"Donald Trump Protester Speaks Out: “I Was Paid $3,500 to Protest Trump’s Rally”"
0,Did Whoopi Goldberg Wear a Violent Anti-Trump Shirt?
0,Did Kamala Harris Call American Churches 'Propaganda Centers'?
1,"Illegal immigration on the U.S.-Mexico border is ""the lowest in 17 years."""
1,Did a Radio Host Tweet About Sodomizing a Parkland Survivor With a 'Hot Poker'?
0,Is a Murderous Taxi Driver Killing People in His Cab?
0,"""Obama’s lawyers officially admit birth certificate is fake."""
1,"""In 2017, West Virginia’s $43,469 median household income was $16,867 below the national average, ranking 50th."""
0,Did Eva Braun Say She 'Hated Seeing Children Separated from Their Parents' But Not to Blame Hitler?
1,Are These 'I'd Rather Be a Russian Than a Democrat' Shirts Real?
